,temp_avg,temp_max,temp_min,encode_state,Year,Month,Precipitation,Total_Suntime
220,50.5363884,70.31713104,38.86600494,0,1914,5,2.391128621,1591918
221,58.94556046,73.05738068,48.23531342,0,1914,6,1.752756408,1601596
222,64.66967773,79.78417969,51.15102386,0,1914,7,2.36970355,1628472
223,64.79991913,84.43523407,51.60932541,0,1914,8,2.037134778,1526416
224,55.27296829,67.33887482,39.55174637,0,1914,9,1.421268544,1347281
225,44.28030777,56.14763641,29.91873932,0,1914,10,1.638699327,1250860
226,33.91788101,49.46530533,23.46453667,0,1914,11,0.805112173,1088390
227,24.92778015,31.93743896,9.229287148,0,1914,12,0.950200758,1059172
228,17.74450874,38.40922928,14.56793594,0,1915,1,1.136613105,1090453
229,26.72273064,36.92148972,12.36544609,0,1915,2,1.116043288,1078496
230,32.6216774,48.29911041,20.87886047,0,1915,3,1.295050074,1328967
231,40.15811157,55.3977356,31.07182121,0,1915,4,2.620855366,1422994
232,49.37972641,64.50292206,40.26509476,0,1915,5,2.5571163,1591130
233,62.00738525,75.98191833,47.09326935,0,1915,6,1.682115159,1601429
234,64.33475494,78.38500214,53.61778259,0,1915,7,1.951193715,1629011
235,63.98086929,80.01337433,49.67298889,0,1915,8,1.994527209,1527384
236,54.74800491,75.42047882,42.83700943,0,1915,9,1.437904515,1348356
237,44.11128616,61.22665787,34.61597061,0,1915,10,1.2465293,1251950
238,30.3844471,49.95729828,20.10973358,0,1915,11,1.154319349,1089191
239,27.38459396,31.92262077,8.759960175,0,1915,12,1.051427983,1059344
240,26.61987305,32.42355347,9.036613464,0,1916,1,1.447357449,1089906
241,25.6779213,40.03776169,15.78824806,0,1916,2,1.119454632,1118123
242,32.24103546,43.48047638,16.31483078,0,1916,3,1.257959593,1332543
243,34.59757233,57.45970535,32.69387054,0,1916,4,2.106527953,1426255
244,53.55909348,60.35729599,35.23450089,0,1916,5,1.98332038,1593578
245,62.68645477,71.82656097,44.23521423,0,1916,6,0.86753442,1601898
246,63.15050125,77.61563873,50.20142365,0,1916,7,1.931430117,1627257
247,60.59750366,76.52503967,45.17361832,0,1916,8,2.522528582,1524300
248,57.61231613,69.98432922,42.23587799,0,1916,9,1.155426425,1344962
249,43.83666992,63.75137329,32.33928299,0,1916,10,1.452918953,1248532
250,31.79227257,46.49997711,22.14606476,0,1916,11,0.898384706,1086715
251,24.15126419,40.45207214,14.38270855,0,1916,12,1.116584632,1058869
252,27.94324684,32.56711578,10.00896931,0,1917,1,0.98911078,1091819
253,27.39552879,42.28924179,13.39238548,0,1917,2,1.123464268,1080509
254,32.9498558,52.06231308,23.95620155,0,1917,3,1.571709128,1331405
255,43.13047791,54.57601929,30.58617592,0,1917,4,1.66172216,1425214
256,49.47041321,65.38219452,35.87714386,0,1917,5,2.327995056,1592791
257,60.21580124,75.87987518,44.18246841,0,1917,6,1.003540163,1601738
258,64.69820404,82.18964386,53.0313797,0,1917,7,1.976736266,1627803
259,65.6180191,75.77627563,50.06464386,0,1917,8,2.031889648,1525273
260,56.82354355,69.35744476,39.77166367,0,1917,9,1.407686246,1346040
261,41.39019012,54.51677322,33.32780075,0,1917,10,1.019072443,1249626
262,32.63749695,45.27278137,17.20983505,0,1917,11,0.933902449,1087515
263,26.87387848,34.45876312,9.267160416,0,1917,12,1.041833376,1059032
264,26.98013496,32.90220642,7.765987396,0,1918,1,1.215368288,1091197
265,24.46422005,40.41319275,14.12004948,0,1918,2,1.139557636,1079574
266,32.9459877,42.33867264,14.25856972,0,1918,3,1.340277158,1330264
267,46.69016647,50.67144775,26.96596909,0,1918,4,1.800684064,1424168
268,52.46580124,55.89492416,34.19918823,0,1918,5,1.731128278,1591999
269,60.64006042,75.14821625,43.82927322,0,1918,6,1.286824432,1601572
270,64.11989594,82.05904388,52.30247879,0,1918,7,2.004673918,1628345
271,63.28013992,77.22337341,47.24424744,0,1918,8,2.130714529,1526245
272,56.19540024,72.10977173,42.69571686,0,1918,9,1.545238868,1347121
273,46.20587921,57.00879669,30.15200233,0,1918,10,1.450304461,1250724
274,32.21554947,52.01303101,24.20011139,0,1918,11,1.167845971,1088319
275,25.89707375,42.19459915,15.33298683,0,1918,12,1.153165869,1059202
276,25.85017967,32.90739822,8.551190376,0,1919,1,0.753070903,1090577
277,25.11159897,43.13088989,12.78389359,0,1919,2,1.126161299,1078639
278,33.6852417,51.20161438,25.86954689,0,1919,3,1.554547487,1329121
279,46.29197311,50.37324524,28.47015953,0,1919,4,1.846289172,1423120
280,51.39004135,66.01837921,36.11040878,0,1919,5,1.696123528,1591201
281,59.80125809,81.45453644,51.66637421,0,1919,6,1.651646759,1601399
282,65.87886047,79.8418045,51.65817642,0,1919,7,2.304300173,1628883
283,65.53661346,79.89064789,49.80286407,0,1919,8,1.775262684,1527219
284,56.20058441,66.28609467,41.17572021,0,1919,9,1.780625146,1348203
285,47.13231659,59.41931915,35.4446907,0,1919,10,1.343271615,1251824
286,35.16029358,44.58097839,15.12441349,0,1919,11,1.251240393,1089128
287,24.64122009,34.26197815,11.38534355,0,1919,12,1.02613542,1059378
288,23.45850372,34.09574127,7.811784744,0,1920,1,0.89160064,1090027
289,30.36137581,35.43522644,10.99361229,0,1920,2,1.108253808,1118264
290,32.58505249,44.8164444,20.51840019,0,1920,3,1.535381216,1332688
291,42.09999847,56.35567856,31.12273979,0,1920,4,2.12313842,1426370
292,49.48216248,66.0317688,38.43894196,0,1920,5,2.175840129,1593639
293,62.05470657,75.00384521,43.71520996,0,1920,6,1.499807801,1601864
294,66.3420639,82.03421783,54.47039413,0,1920,7,1.965073578,1627133
295,63.54146576,82.25639343,50.48081207,0,1920,8,2.128282418,1524143
296,57.92203903,75.37686157,46.67351913,0,1920,9,1.520131705,1344819
297,47.86893463,54.62818527,29.80133247,0,1920,10,1.40136451,1248416
298,33.83779144,44.96874619,18.78832054,0,1920,11,1.253684627,1086660
299,28.86118317,35.08951569,9.70501709,0,1920,12,1.018182355,1058905
