,Precipitation,encode_state,Year,Month
2923,2.509446812,0,1923,8
2924,1.507860809,0,1923,9
2925,1.752125851,0,1923,10
2926,1.050904057,0,1923,11
2927,1.059697854,0,1923,12
3024,0.94608185,0,1924,1
3025,1.109604638,0,1924,2
3026,1.370080839,0,1924,3
3027,1.577960926,0,1924,4
3028,1.986102537,0,1924,5
3029,1.296498593,0,1924,6
3030,1.938386284,0,1924,7
3031,1.38747665,0,1924,8
3032,1.366939399,0,1924,9
3033,1.562619144,0,1924,10
3034,0.970628844,0,1924,11
3035,1.188156452,0,1924,12
3132,0.862396271,0,1925,1
3133,1.022961106,0,1925,2
3134,1.216885567,0,1925,3
3135,1.66843639,0,1925,4
3136,1.890514026,0,1925,5
3137,1.374984629,0,1925,6
3138,2.348037506,0,1925,7
3139,1.957691291,0,1925,8
3140,1.438432406,0,1925,9
3141,1.392222054,0,1925,10
3142,1.054966349,0,1925,11
3143,1.024312248,0,1925,12
3240,0.906047247,0,1926,1
3241,1.124490701,0,1926,2
3242,1.733928467,0,1926,3
3243,2.087066169,0,1926,4
3244,2.410645518,0,1926,5
3245,1.472199886,0,1926,6
3246,2.292215717,0,1926,7
3247,1.817573145,0,1926,8
3248,1.349270919,0,1926,9
3249,1.446379005,0,1926,10
3250,1.100063823,0,1926,11
3251,1.024462055,0,1926,12
3348,1.081953801,0,1927,1
3349,1.242755165,0,1927,2
3350,1.549382692,0,1927,3
3351,1.909591148,0,1927,4
3352,1.444678301,0,1927,5
3353,2.22901989,0,1927,6
3354,2.14210199,0,1927,7
3355,2.16933726,0,1927,8
3356,1.56410932,0,1927,9
3357,1.402101576,0,1927,10
3358,0.942203479,0,1927,11
3359,1.08252224,0,1927,12
3456,0.952596632,0,1928,1
3457,1.020432801,0,1928,2
3458,1.432798286,0,1928,3
3459,1.880270421,0,1928,4
3460,2.873244964,0,1928,5
3461,2.316691046,0,1928,6
3462,2.198800863,0,1928,7
3463,1.920706431,0,1928,8
3464,1.171816989,0,1928,9
3465,1.520187452,0,1928,10
3466,1.032736599,0,1928,11
3467,0.994757914,0,1928,12
